PID,item_type
fsu:862008,Thesis
fsu:862170,Online resource
fsu:702785,Online resource
fsu:862172,Online resource
fsu:912587,Model
fsu:913130,Model
fsu:771672,Poster
fsu:913126,Model
fsu:913131,Model
fsu:913127,Model
fsu:539055,Software
fsu:913128,Model
fsu:593088,Online resource
fsu:690822,Report
fsu:938123,Online resource
fsu:893827,Poster
fsu:805162,Online resource
fsu:752213,Online resource
fsu:752214,Online resource
fsu:752212,Online resource
fsu:640589,Report
fsu:858761,Journal contribution
fsu:749029,Online resource
fsu:742957,Online resource
fsu:702794,Online resource
fsu:689941,Online resource
fsu:702792,Online resource
fsu:773825,Online resource
fsu:903790,Online resource
fsu:543754,Educational resource
fsu:896024,Online resource
fsu:545163,Journal contribution
fsu:743068,Online resource
fsu:870416,Poster
fsu:893800,Online resource
fsu:743457,Online resource
fsu:800192,Online resource
fsu:758370,Online resource
fsu:799664,Online resource
fsu:798157,Online resource
fsu:799371,Online resource
fsu:770817,Report
fsu:759820,Report
fsu:722957,Online resource
fsu:726921,Online resource
fsu:550175,Online resource
fsu:550170,Online resource
fsu:550173,Online resource
fsu:802425,Online resource
fsu:802424,Online resource
fsu:551480,Online resource
fsu:802422,Online resource
fsu:802421,Online resource
fsu:547656,Online resource
fsu:907639,Online resource
fsu:1004578,Thesis
fsu:1017458,Thesis
fsu:1025280,Online resource
fsu:1026271,Model
fsu:1026272,Model
fsu:1038454,Model
fsu:1038419,Model
fsu:1038429,Model
fsu:1038413,Model
fsu:1038427,Model
fsu:1038415,Model
fsu:1038416,Model
fsu:1038414,Model
fsu:1038418,Model
fsu:1038417,Model
fsu:1038430,Model
fsu:1038423,Model
fsu:1038422,Model
fsu:1038424,Model
fsu:1038433,Model
fsu:1038425,Model
fsu:1038426,Model
fsu:1038428,Model
fsu:1038420,Model
fsu:1038421,Model
fsu:1038434,Model
fsu:1038431,Model
fsu:1038432,Model
fsu:1010828,Model
fsu:1010827,Model
fsu:1010822,Model
fsu:1010826,Model
fsu:1010821,Model
fsu:1010824,Model
fsu:1010817,Model
fsu:1010818,Model
fsu:1010823,Model
fsu:1010820,Model
fsu:1010825,Model
fsu:1026286,Model
fsu:1026284,Model
fsu:1026278,Model
fsu:1026282,Model
fsu:1026289,Model
fsu:1026277,Model
fsu:1026273,Model
fsu:1026281,Model
fsu:1026274,Model
fsu:1026275,Model
fsu:1026280,Model
fsu:1026287,Model
fsu:1026285,Model
fsu:1026279,Model
fsu:1026294,Model
fsu:1026292,Model
fsu:1026288,Model
fsu:1026291,Model
fsu:1026293,Model
fsu:1026276,Model
fsu:1026283,Model
fsu:1055014,Poster
fsu:1054829,Poster
fsu:1054830,Poster
fsu:1054833,Poster
fsu:1054825,Poster
fsu:1060924,Service
