pid,publication_date
fsu:747870,2019-09-03
fsu:724969,2019-09-23
fsu:722717,2019-08-06
fsu:742966,2019-08-20
fsu:722723,2019-07-03
fsu:747873,2019-05-26
fsu:746631,2019-03-13
fsu:747849,2019-06-05
fsu:746632,2019-04-12
fsu:743288,2019-04-02
fsu:743157,2019-09-02
fsu:723289,2019-07-02
fsu:746637,2019-03-17
fsu:743290,2019-02-22
fsu:180455,2015-05-15
fsu:180688,2015-05-15
fsu:181497,2015-05-24
fsu:181652,2015-05-24
fsu:181887,2015-05-24
fsu:253105,2015-05-24
fsu:405617,2017-03-28
fsu:722512,2020-02-06
fsu:759966,2021-06-01
fsu:743292,2019-04-11
fsu:746634,2019-02-14
fsu:747848,2019-03-19
fsu:747869,2019-03-18
fsu:749186,2019-03-25
fsu:747868,2019-03-30
fsu:746635,2019-01-01
