PID,item_type
fsu:862008,Thesis
fsu:862170,Online resource
fsu:702785,Online resource
fsu:862172,Online resource
fsu:912587,Model
fsu:913130,Model
fsu:771672,Poster
fsu:913126,Model
fsu:913131,Model
fsu:913127,Model
fsu:539055,Software
fsu:913128,Model
fsu:593088,Online resource
fsu:690822,Report
fsu:938123,Online resource
fsu:893827,Poster
fsu:805162,Online resource
fsu:752213,Online resource
fsu:752214,Online resource
fsu:752212,Online resource
fsu:640589,Report
fsu:858761,Journal contribution
fsu:749029,Online resource
fsu:742957,Online resource
fsu:702794,Online resource
fsu:689941,Online resource
fsu:702792,Online resource
fsu:773825,Online resource
fsu:903790,Online resource
fsu:543754,Educational resource
fsu:896024,Online resource
fsu:545163,Journal contribution
fsu:743068,Online resource
fsu:870416,Poster
fsu:893800,Online resource
fsu:743457,Online resource
fsu:800192,Online resource
fsu:758370,Online resource
fsu:799664,Online resource
fsu:798157,Online resource
fsu:799371,Online resource
fsu:770817,Report
fsu:759820,Report
fsu:722957,Online resource
fsu:726921,Online resource
fsu:550175,Online resource
fsu:550170,Online resource
fsu:550173,Online resource
fsu:802425,Online resource
fsu:802424,Online resource
fsu:551480,Online resource
fsu:802422,Online resource
fsu:802421,Online resource
fsu:547656,Online resource
fsu:907639,Online resource
fsu:1004578,Thesis
fsu:1017458,Thesis
fsu:1025280,Online resource
fsu:1026271,Model
fsu:1026272,Model
fsu:1038454,Model
fsu:1038419,Model
fsu:1038429,Model
fsu:1038413,Model
fsu:1038427,Model
fsu:1038415,Model
fsu:1038416,Model
fsu:1038414,Model
fsu:1038418,Model
fsu:1038417,Model
fsu:1038430,Model
fsu:1038423,Model
fsu:1038422,Model
fsu:1038424,Model
fsu:1038433,Model
fsu:1038425,Model
fsu:1038426,Model
fsu:1038428,Model
fsu:1038420,Model
fsu:1038421,Model
fsu:1038434,Model
fsu:1038431,Model
fsu:1038432,Model
fsu:1010828,Model
fsu:1010827,Model
fsu:1010822,Model
fsu:1010826,Model
fsu:1010821,Model
fsu:1010824,Model
fsu:1010817,Model
fsu:1010818,Model
fsu:1010823,Model
fsu:1010820,Model
fsu:1010825,Model
fsu:1026286,Model
fsu:1026284,Model
fsu:1026278,Model
fsu:1026282,Model
fsu:1026289,Model
fsu:1026277,Model
fsu:1026273,Model
fsu:1026281,Model
fsu:1026274,Model
fsu:1026275,Model
fsu:1026280,Model
fsu:1026287,Model
fsu:1026285,Model
fsu:1026279,Model
fsu:1026294,Model
fsu:1026292,Model
fsu:1026288,Model
fsu:1026291,Model
fsu:1026293,Model
fsu:1026276,Model
fsu:1026283,Model
fsu:1055014,Poster
fsu:1054829,Poster
fsu:1054830,Poster
fsu:1054833,Poster
fsu:1054825,Poster
fsu:1060924,Service
fsu:573847,Model
fsu:573852,Model
fsu:573839,Model
fsu:588623,Model
fsu:573844,Model
fsu:573843,Model
fsu:573854,Model
fsu:573719,Model
fsu:573849,Model
fsu:588621,Model
fsu:573840,Model
fsu:573855,Model
fsu:573716,Model
fsu:588628,Model
fsu:588624,Model
fsu:573828,Model
fsu:573841,Model
fsu:573838,Model
fsu:573845,Model
fsu:573853,Model
fsu:573715,Model
fsu:573846,Model
fsu:573732,Model
fsu:573842,Model
fsu:573848,Model
fsu:573734,Model
fsu:573718,Model
fsu:588627,Model
fsu:573717,Model
fsu:588622,Model
fsu:588625,Model
fsu:573856,Model
fsu:573851,Model
fsu:573837,Model
fsu:573850,Model
fsu:661585,Model
fsu:588620,Model
fsu:573733,Model
fsu:588626,Model
fsu:588619,Model
fsu:588618,Model
fsu:573731,Model
fsu:573858,Model
fsu:573709,Model
fsu:661588,Model
fsu:662232,Model
fsu:662236,Model
fsu:662235,Model
fsu:662234,Model
fsu:662233,Model
fsu:662229,Model
fsu:662227,Model
fsu:662230,Model
fsu:662226,Model
fsu:662231,Model
fsu:662224,Model
fsu:661587,Model
fsu:662228,Model
fsu:662225,Model
fsu:662241,Model
fsu:662244,Model
fsu:662246,Model
fsu:662245,Model
fsu:662239,Model
fsu:662243,Model
fsu:661589,Model
fsu:662240,Model
fsu:662242,Model
fsu:662238,Model
fsu:662248,Model
fsu:662255,Model
fsu:662247,Model
fsu:662237,Model
fsu:662256,Model
fsu:662251,Model
fsu:662252,Model
fsu:662262,Model
fsu:662260,Model
fsu:661586,Model
fsu:662253,Model
fsu:662250,Model
fsu:662254,Model
fsu:662249,Model
fsu:662263,Model
fsu:662268,Model
fsu:662269,Model
fsu:662265,Model
fsu:662264,Model
fsu:662261,Model
fsu:662277,Model
fsu:662276,Model
fsu:662282,Model
fsu:661590,Model
fsu:662279,Model
fsu:662280,Model
fsu:662267,Model
fsu:662275,Model
fsu:662278,Model
fsu:662266,Model
fsu:662283,Model
fsu:661591,Model
fsu:662284,Model
fsu:662294,Model
fsu:662281,Model
fsu:662295,Model
fsu:662292,Model
fsu:662296,Model
fsu:662288,Model
fsu:662291,Model
fsu:662293,Model
fsu:662287,Model
fsu:662289,Model
fsu:573857,Model
fsu:661965,Model
fsu:662290,Model
fsu:662306,Model
fsu:662305,Model
fsu:662299,Model
fsu:662300,Model
fsu:662304,Model
fsu:662303,Model
fsu:662302,Model
fsu:662301,Model
fsu:662454,Model
fsu:661964,Model
fsu:662298,Model
fsu:662297,Model
fsu:662453,Model
fsu:662458,Model
fsu:662460,Model
fsu:662451,Model
fsu:662457,Model
fsu:662459,Model
fsu:662452,Model
fsu:662456,Model
fsu:662455,Model
fsu:663233,Model
fsu:663234,Model
fsu:663240,Model
fsu:661966,Model
fsu:663239,Model
fsu:663235,Model
fsu:663236,Model
fsu:663237,Model
fsu:663238,Model
fsu:663278,Model
fsu:663285,Model
fsu:663282,Model
fsu:663242,Model
fsu:661963,Model
fsu:663241,Model
fsu:663279,Model
fsu:663286,Model
fsu:663287,Model
fsu:663283,Model
fsu:663280,Model
fsu:663284,Model
fsu:663352,Model
fsu:663353,Model
fsu:663281,Model
fsu:663356,Model
fsu:663355,Model
fsu:663351,Model
fsu:661962,Model
fsu:663354,Model
